artistID,Artist,Songs,Popularity,Link,Genre,Genres
135,Green Day,239,7.4,/green-day/,Rock,Rock; Punk Rock; Rock Alternativo; Hard Rock; Pop/Punk; Pop/Rock; Pós-Punk; Axé; Soft Rock; Gospel/Religioso; Indie; Gótico; Heavy Metal; Pop; Classic Rock; Clássico; New Wave; New Age; Rap; Funk; Samba; Ska; Black Music; Sertanejo; Hardcore; Grunge; Forró; Infantil; Emocore
136,Greta Van Fleet,20,1.2,/greta-van-fleet/,Rock,Rock; Hard Rock
137,Gustavo Goulart,14,0,/gustavo-goulart/,Rock,Rock; Pop; Pop/Rock
138,HaZee,6,0,/hazee/,Rock,Rock
139,Heart,154,1.6,/heart/,Rock,Rock; Hard Rock; Rock Alternativo; Classic Rock; J-Pop/J-Rock; Electronica; Pop/Rock; Romântico; Pop; Folk
140,HIM,112,0.4,/him/,Rock,Rock; Heavy Metal; Gótico; Romântico; Hard Rock; Rock Alternativo; Electronica; Axé; Gospel/Religioso
141,Hinder,45,0.3,/hinder/,Rock,Rock; Hard Rock; Pop/Rock; Rock Alternativo; Romântico; Grunge; Country
142,Hollywood Rose,11,0,/hollywood-rose/,Rock,Rock; Hard Rock; Heavy Metal; Hardcore
143,Hollywood Undead,100,0.7,/hollywood-undead/,Rock,Rock; Hardcore; Rap; Rock Alternativo; Punk Rock; Hip Hop; Hard Rock; Heavy Metal; Gospel/Religioso; R&B; Pop/Punk
144,Hoobastank,122,2.2,/hoobastank/,Rock,Rock; Pop/Rock; Romântico; Rock Alternativo; Punk Rock; Hard Rock; Indie; Grunge; Emocore
145,Hori,32,0.3,/hori/,Pop,Pop; Emocore; Rock Alternativo; Rock; Pop/Rock; Romântico; Trilha Sonora; World Music; Funk Carioca; Hardcore; Electronica; Axé; Sertanejo; Infantil; Gótico; Punk Rock; J-Pop/J-Rock; Pop/Punk; Pagode; MPB; Forró; Dance; Jazz; Heavy Metal; Post-Rock; Jovem Guarda; Soft Rock; Power-Pop; Hard Rock; Hip Hop; Tecnopop; Trip-Hop; Soul Music; Gospel/Religioso; Black Music; Reggae; Funk; Electro Swing; Velha Guarda; Chillout; Disco; Clássico; Ska; Blues; Samba; Pós-Punk; Industrial; Bossa Nova; Folk; Country; Rap
146,Hurry-up,20,0,/hurry-up/,Rock,Rock; Pop/Punk
147,Imagine Dragons,112,61.3,/imagine-dragons/,Rock,Rock; Rock Alternativo; Indie; Pop/Rock; Folk; Electronica; Pop; Romântico; Hard Rock; Forró; Gospel/Religioso; Funk Carioca; Clássico; Hardcore; Gótico; Velha Guarda; Funk; Heavy Metal; Hip Hop; Surf Music; Metal; Dance; Soft Rock; Pop/Punk; Electro Swing; Progressivo; Classic Rock; Psicodelia; Reggae; New Age; Rockabilly; Pagode; Sertanejo; World Music; Emocore; Black Music; Blues; K-Pop/K-Rock; Ska; House; Chillout; Regional; Punk Rock; MPB; R&B; Industrial; Jovem Guarda; Trance; Grunge; Axé
148,Incerta,5,0,/incerta/,Rock,Rock
149,Incubus,127,1.9,/incubus/,Rock,Rock; Rock Alternativo; Hard Rock; Indie; Hip Hop; Metal; Piano Rock; Heavy Metal; Grunge; Emocore
150,Instinto,20,0,/instinto/,Rock,Rock
151,Interceptör,8,0,/interceptor/,Rock,Rock; Heavy Metal
152,Intrépida,8,0,/intrepida/,Rock,Rock
153,Invasores,7,0,/invasores-11/,Rock,NA
154,Inventores do Nada,1,0,/inventores-do-nada/,Rock,Rock; Indie; Rock Alternativo
155,INXS,146,1.7,/inxs/,Rock,Rock; Pop/Rock; Pop; New Wave; Romântico; Hard Rock; Classic Rock
156,Ira!,140,3.4,/ira/,Rock,Rock
157,Iron Weasel,20,0,/iron-weasel/,Rock,Rock; Hard Rock; Heavy Metal; Rock Alternativo; Punk Rock; Trilha Sonora; Hardcore; Gospel/Religioso; Funk; Electronica; Axé; Pop/Rock
158,Ivo Gonçalves,45,0.1,/ivo-goncalves/,Rock,Rock; Blues; MPB
159,Jane's Addiction,59,0.3,/janes-addiction/,Rock,Rock; Hard Rock; Rock Alternativo; Pós-Punk; Punk Rock; Heavy Metal
160,Janis Joplin,113,4.3,/janis-joplin/,Rock,Rock; Blues; R&B; Jazz; Folk; Psicodelia; Romântico; Soul Music; Classic Rock; Soft Rock; Gótico; Fado; House; Country; Hard Rock
161,Jars Of Clay,149,0.1,/jars-of-clay/,Rock,Rock; Gospel/Religioso; Rock Alternativo; Folk
162,Jason Vargas,9,0,/jason-vargas/,Rock,Rock
